SMILES	pIC50 (SARS-CoV-2 Mpro)	pIC50 (MERS-CoV Mpro)
O=C(CC1=C(F)C(F)=CC=C1F)NC1=CN=CC2=CC=CC=C12	4.51	1.0
O=C(CC1=CC=C(F)C(F)=C1F)NC1=CN=CC2=CC=CC=C12	4.8	5.34
O=C(CC1=C(F)C=CC=C1F)NC1=CN=CC2=CC=CC=C12	nan	4.35
CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC(F)=C(F)C(F)=C1 |&1:2|	6.11	4.53
CC1=CC=C([C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2CC2)C=C1 |&1:5|	4.73	4.31
O=C(CC1=CC(F)=CC(F)=C1F)NC1=CN=CC2=CC=CC=C12	5.82	5.63
O=C(NC1=CN=CC2=CC=CC=C12)[C@H]1COC2=CC=C(F)C=C21 |&1:13|	5.46	4.6
O=C(CC1=CC=C(F)C=C1F)NC1=CN=CC2=CC=CC=C12	4.6	5.0
O=C(CC1=CC(Cl)=CC=C1F)NC1=CN=CC2=CC=CC=C12	5.97	4.81
O=C(CC1=CC(F)=CC(F)=C1)NC1=CN=CC2=CC=CC=C12	6.19	4.88
O=C1N[C@]2(CCOC3=CC=CC=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|	4.82	4.63
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC=C(F)C=C2C1=O	6.28	5.35
O=C1N[C@]2(CCOC3=CC=C(CO)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|	4.87	4.52
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2CC2)C2=CC(Cl)=CC=C2C1=O |o1:7,22|	5.27	4.15
CCCCNC(=O)C1=CN=C([C@H](NC(=O)CCl)C2=CC=CC=C2)S1 |&1:11|	4.72	4.73
COC1=CC=C(CNC2=CN=C([C@H](NC(=O)CCl)C3=CC=CC=C3)S2)C(OC)=C1 |&1:12|	4.33	4.11
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC=C3C3CC3)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O	6.33	5.08
CN1N=CC(C2CCC2)=C1CNC(=O)C1=CN=CC2=CC=CC=C12	4.25	4.16
O=C(NCCC1=CNC2=NC=C(F)C=C12)C1=CN=CC2=CC=CC=C12	4.42	3.85
O=C(NCCC1=CNC2=CC(F)=CC=C12)C1=CN=CC2=CC=CC=C12	nan	4.05
CC(C)(NC(=O)C1=CN=CC2=CC=CC=C12)C1=CC=CC(C#N)=C1	4.23	4.3
C[C@H](NC(=O)C1=CN=CC2=CC=CC=C12)C1=NC2=CC=CC=C2N1C |&1:1|	4.06	3.84
O=C(C1=CN=CC2=CC=CC=C12)N1CC[C@H]1C1=CC=CC(F)=C1 |&1:15|	nan	4.29
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC=CC(F)=C2C1=O	5.89	5.25
CC1=NC=C(CNC(=O)C2=CN=CC3=CC=CC=C23)N1C1=CC=CC=C1	nan	4.1
CN(C(=O)C1=CN=CC2=CC=CC=C12)[C@H]1C2=CC=CC=C2C[C@H]1O	nan	4.19
O=C(NCCC(=O)N1CCCCC1)C1=CN=CC2=CC=CC=C12	4.09	4.26
O=C(NCC1=CC=CC=C1N1C=CN=C1)C1=CN=CC2=CC=CC=C12	nan	4.24
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CN=CC=C2C1=O	5.59	4.45
O=C(NCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12	4.72	3.42
CC1=CC=CC2=C1C=C(CNC(=O)C1=CN=CC3=CC=CC=C13)N2	4.87	3.66
CN1C2=CC=CC=C2N(CCNC(=O)C2=CN=CC3=CC=CC=C23)S1(=O)=O	4.15	4.3
O=C(NCC1=CC2=C(CCCC2)N=C1O)C1=CN=CC2=CC=CC=C12	4.46	4.32
CN(C(=O)C1=CC=CN=C1)[C@H]1C2=CC=CC=C2C[C@H]1O	nan	5.23
CN(CC(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1)C(=O)C1=CC=CN=C1	nan	4.3
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC(F)=C1 |&1:17|	nan	4.38
CC1=NN(C2=CC=C(Cl)C=C2)C(NC(=O)C2=CN=CC3=CC=CC=C23)=C1C	nan	7.88
CC1=C(CCNC(=O)C2=CN=CC3=CC=CC=C23)C2=CC(O)=CC=C2N1	nan	4.23
O=C(NCCN1C(=O)CC2=CC=CC=C21)C1=CN=CC2=CC=CC=C12	nan	4.21
O=C(NCC1=NC2=CC(Cl)=CC=C2S1)C1=CN=CC2=CC=CC=C12	4.04	4.96
NC(=O)C1(NC(=O)C2=CN=CC3=CC=CC=C23)CC2=CC=CC=C2C1	nan	4.25
O=C(NCCC1=CNC2=CC=C(Cl)C=C12)C1=CN=CC2=CC=CC=C12	4.91	4.08
CC1=CN=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=C1	nan	4.36
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=C1	nan	4.39
CN1C(CNC(=O)C2=CN=CC3=CC=CC=C23)=NC2=CC=CC=C21	4.07	3.58
O=C(N[C@H]1C2=CC=CC=C2C[C@H]1O)C1=CN=CC2=CC=CC=C12	nan	3.76
CN(CC1=CC=CC(O)=C1)C(=O)C1=CN=CC2=CC=CC=C12	nan	6.25
CN(CC1=NN(C2=CC=CC=C2)N=C1)C(=O)C1=CN=CC2=CC=CC=C12	nan	7.33
O=C(NCC1=CC=CC=C1N1C=CC=N1)C1=CN=CC2=CC=CC=C12	nan	4.29
CN(CC1=CC=C2C=CNC2=C1)C(=O)C1=CN=CC2=CC=CC=C12	nan	4.19
O=C(C1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=C1	nan	4.27
COC1=CC=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=C1	4.24	4.52
CN1CCN(C(=O)CCCNC(=O)C2=CN=CC3=CC=CC=C23)CC1	nan	4.37
O=C(NCCC1=NC=CN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12	nan	4.26
O=C(C1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC=C(F)C=C2)CC1	5.1	4.23
COC1=CC=C2OCC[C@@H](NC(=O)C3=CN=CC4=CC=CC=C34)C2=C1	nan	3.9
CC1=CC=C([C@H](CO)NC(=O)C2=CN=CC3=CC=CC=C23)C=C1 |&1:5|	nan	4.47
CN1N=C(CNC(=O)C2=CN=CC3=CC=CC=C23)C2=CC=CC=C2C1=O	nan	3.61
CC1=NC=C2CC[C@H](NC(=O)C3=CN=CC4=CC=CC=C34)CN21 |&1:7|	nan	4.15
O=C(NCCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12	4.82	3.82
O=C(NCCN1CCC2=CC=CC=C2C1=O)C1=CN=CC2=CC=CC=C12	nan	4.17
O=C(NC1CN(C2=CC=NC=C2)C1)C1=CN=CC2=CC=CC=C12	nan	4.33
O=C(N[C@H]1C2=CC=CC=C2C[C@@H]1O)C1=CN=CC2=CC=CC=C12	nan	4.35
O=C(NCC1=NC=CN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12	nan	4.17
O=C(NCC1=CC=NN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12	nan	4.21
O=C(NCCC1=CNC2=NC=C(Cl)C=C12)C1=CN=CC2=CC=CC=C12	4.32	4.06
C[C@@H](NC(=O)C1=CN=CC2=CC=CC=C12)C1=CSC2=CC=CC=C12	nan	4.48
O=C(NCC1=CSC2=CC=C(Cl)C=C12)C1=CN=CC2=CC=CC=C12	nan	4.12
O=C(NCC(=O)N1CCCC2=CC=CC=C21)C1=CN=CC2=CC=CC=C12	nan	4.24
O=C(C1=CN=CC2=CC=CC=C12)N1CC[C@H]1C1=CC=CC=C1	nan	4.33
O=C(C1=CN=CC2=CC=CC=C12)N1CC[C@H]1C1=CC=CC=C1F |&1:15|	nan	4.21
N#CC1=CC=CC=C1CNC(=O)C1=CN=CC2=CC=CC=C12	nan	4.0
O=C(NCC(=O)N1CCCC1)C1=CN=CC2=CC=CC=C12	nan	5.13
CN(CC1=NC2=CC=CC=C2N1C)C(=O)C1=CN=CC2=CC=CC=C12	nan	4.31
CN1C(CNC(=O)C2=CN=CC3=CC=CC=C23)=NC2=CC(F)=CC=C21	nan	4.5
COC1=CC=C(O)C([C@H](C)NC(=O)C2=CN=CC3=CC=CC=C23)=C1 |&1:8|	nan	4.3
O=C(NCCOC1=CC(Cl)=CC=N1)C1=CN=CC2=CC=CC=C12	4.8	3.65
O=C(N[C@@H]1C[C@H](O)C2=CC=CC=C21)C1=CN=CC2=CC=CC=C12 |&1:3,5|	nan	4.5
O=C(NCC1=CC(=O)NC2=CC=CC=C12)C1=CN=CC2=CC=CC=C12	nan	4.15
CN(CC1=CC=CC(C#N)=C1)C(=O)C1=CN=CC2=CC=CC=C12	nan	4.18
O=C(NCCC1=CNC2=CN=CC=C12)C1=CN=CC2=CC=CC=C12	nan	3.92
O=C(NCC1=NC2=CC=CC=C2N1)C1=CN=CC2=CC=CC=C12	4.23	4.52
CC1=CC=C(F)C(CN(C)C(=O)C2=CN=CC3=CC=CC=C23)=C1	nan	4.21
C[C@H](C1=CC=C(F)C=C1)N(C)C(=O)C1=CN=CC2=CC=CC=C12	nan	4.18
O=C1C(C2=CC=CC(Cl)=C2)=CN=CN1C1=CN=CC2=CC=CC=C12	5.78	4.76
O=C(C1=CN=CC2=CC=CC=C12)N1CCOC[C@H]1C1=CC=CC(Cl)=C1 |&1:17|	nan	4.2
CC1=CC([C@H]2CCCN2C(=O)C2=CN=CC3=CC=CC=C23)=CC=N1 |&1:4|	nan	4.16
CC1=CC=C(Cl)C([C@H]2CCCN2C(=O)C2=CN=CC3=CC=CC=C23)=C1 |&1:7|	nan	9.0
CN(C(=O)C1=CN=CC2=CC=CC=C12)[C@H]1CC2=CC=CC=C2[C@H]1O |&1:14,22|	nan	4.21
CC1=CC=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=N1	nan	4.25
CN(CCC1=CC=NC=C1)C(=O)C1=CN=CC2=CC=CC=C12	nan	4.37
COC1=CC=C(Cl)C=C1[C@H]1CCCCN1C(=O)C1=CN=CC2=CC=CC=C12 |&1:9|	nan	4.31
CN(C(=O)C1=CN=CC2=CC=CC=C12)[C@H](C1=CC=CC(Cl)=C1)C1=CC=CC=N1 |&1:14|	nan	3.84
CC1=NC=C(C2=CC=CC(Cl)=C2)C(=O)N1C1=CN=CC2=CC=CC=C12	4.8	4.91
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=N1 |&1:17|	nan	4.29
O=C(N[C@H]1CCCN(C(=O)C2=CN=CC3=CC=CC=C23)C1)C1=CC=C(Cl)C=C1 |&1:3|	nan	4.22
CCC1=CC=C2C(=C1)[C@H](NC(=O)C1=CN=CC3=CC=CC=C13)C(=O)N2C |&1:8|	nan	4.28
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC(Cl)=C1 |&1:17|	nan	4.37
CC1=CC=CC=C1[C@H]1[C@H](O)CCN1C(=O)C1=CN=CC2=CC=CC=C12 |&1:7,&2:8|	nan	3.7
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=C(Cl)C=C1 |&1:17|	nan	4.44
CN(CCC1=CC=CC=C1)C(=O)C1=CN=CC2=CC=CC=C12	nan	4.25
CC(C)C[C@H](NC(=O)OC1CC2(C1)CN(C(=O)CC1=CC=CC=C1)C2)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O	4.2	4.7
CN(CC1=CN=C2C=CC=CN12)C(=O)C1=CN=CC2=CC=CC=C12	nan	4.94
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCN(C)CC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|	nan	3.99
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|	5.83	4.17
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCCCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|	6.41	4.86
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:3|	5.17	4.13
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:3|	6.65	5.69
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|	6.9	5.05
CNC(=O)CN1C[C@]2(C[C@H](COC)N(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |&1:7,9|	4.27	4.28
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(F)=CC=C2C1=O |o1:3|	5.02	4.52
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(F)=CC=C2C1=O |o1:3|	6.34	5.42
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCNCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|	6.92	4.25
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2C1=O |o1:3|	5.22	4.5
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)O |&1:6|	4.88	4.68
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=C(Cl)C=CC=C1Cl |&1:17|	4.38	4.73
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2C1=O |o1:3|	nan	4.27
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@]12CN1N=NC=C1C1=CC=C(Cl)C=C12	4.11	4.38
N#CC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1	4.89	5.69
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C(F)(F)F)=CC=C2C1=O |o1:3|	4.75	4.32
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C(F)(F)F)=CC=C2C1=O |o1:3|	5.44	4.95
CN1C[C@]2(CCCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|	5.98	4.79
CN1C[C@]2(CCCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|	nan	4.12
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN1N=NC=C1C1=CC=C(Cl)C=C12	6.18	5.16
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2OCC12CC2	4.45	4.68
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=CC=CC=C21	4.68	4.74
CN(C(=O)CC1=CN=CC2=CC=CC=C12)[C@H](C1=CC=C(Cl)C=C1)C1CC1 |&1:15|	4.8	4.4
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCCC[C@H]21 |&1:16,21|	4.5	3.96
CC1=CC=C(F)C(CN(C)C(=O)CC2=CN=CC3=CC=CC=C23)=C1F	4.24	4.73
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=CC=C(Cl)C=C2CC1	5.43	3.9
CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12	5.23	4.44
CN(CCC1=CC=CC=C1Cl)C(=O)CC1=CN=CC2=CC=CC=C12	4.56	3.61
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CS1)C1=CC=CC=C1	5.0	5.26
COC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1	5.37	5.72
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]2CCC(F)(F)C[C@H]21 |&1:17,24|	4.46	4.42
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(F)=C1)C1CC1	5.52	4.76
CC1=NN(C)C(CN(C)C(=O)CC2=CN=CC3=CC=CC=C23)=C1	nan	4.18
C[C@H]1[C@H]2CCCC[C@H]2CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:2,&3:7|	5.02	4.3
O=C(CC1=CN=CC2=CC=CC=C12)NCC1=CC=CC(Cl)=C1	5.25	4.08
C[C@H]1CC[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)[C@H]2C1 |&1:1,&2:4,&3:22|	4.92	4.27
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCCC[C@H]2CC1 |&1:16,&2:21|	5.88	4.75
CC1=CC=CC(CN(C(=O)CC2=CN=CC3=CC=CC=C23)C2CC2)=C1	5.04	4.33
CCCN(CCC1=CC=CS1)C(=O)CC1=CN=CC2=CC=CC=C12	4.68	4.75
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCCC2=CC=CC=C2C1	5.79	5.36
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=C(Cl)C=C1 |&1:17|	4.68	4.94
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)C1=CC=CC=C1	5.11	5.36
CC(C)N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12	5.82	4.62
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C3CC3)=CC=C2C1=O |o1:3|	5.55	5.89
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C3CC3)=CC=C2C1=O |o1:3|	4.09	4.31
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C(F)C=C1)C1CCCCC1	5.05	5.05
C[C@H](C1=CC=CC=C1)N(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12	5.15	5.2
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)CC1=CC=C(F)C=C1	5.0	5.02
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1O)C1=CC=C(F)C=C1	4.78	4.89
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=C(F)C=CC(Cl)=C1F |&1:17|	5.38	3.87
CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|	6.31	5.4
CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|	nan	4.28
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C2NC=CC2=C1)CC1=CC=CS1	4.97	5.24
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC2=CC=CC=C2)C2=CC(F)=CC=C2C1=O	6.96	5.68
O=C(NC1=CC=CC=C1)OCC1=CC=CC=C1	nan	4.1
N=C(N)NCCC1=CC=CC(B(O)O)=C1	nan	6.61
N=C(N)NC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1	5.68	4.49
O=C(CC1=CC(F)=C(F)C(F)=C1)NC1=CN=CC2=CC=CC=C12	6.33	3.58
N=C(N)NCCC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1	4.8	4.27
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C[C@H]2CCCC[C@H]21 |&1:19,&2:24|	4.03	4.85
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C#N)=CC=C2C1=O |o1:3|	6.08	5.04
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C#N)=CC=C2C1=O |o1:3|	4.92	4.15
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=CC=CC=C2C2=CC=CC=C21	nan	3.97
N#CC1(N(C(=O)CC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2)CCCCC1	4.85	4.79
CC(C)(C#N)NC(=O)[C@H](CC1=CC=CC(Cl)=C1)C1=CN=CC2=CC=CC=C12 |&1:8|	4.12	3.51
O=C1N(C2=CN=CC3=CC=CC=C23)CCC[C@]12CCOC1=CC=C(Cl)C=C12 |o1:16|	nan	4.28
O=C1N(C2=CN=CC3=CC=CC=C23)CCC[C@]12CCOC1=CC=C(Cl)C=C12 |o1:16|	6.53	5.12
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=C(F)C=CC=C2C1=O	4.38	4.27
COC1=CC=C2C=NC=C(CC(=O)N(CC3=CC=CC(Cl)=C3)C3=CC=C(N(C)C)C=N3)C2=C1	6.69	5.69
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C3=CC=CC=C32)C2=CC(F)=CC=C2C1=O |&1:7|	6.44	5.42
COC1=CC2=CN=CC(CC(=O)N(CC3=CC=CC(Cl)=C3)C3=CC=C(N(C)C)C=N3)=C2C=C1OC	5.84	4.58
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=CC=C1 |&1:6|	7.1	4.77
N=C(N)NCC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1	5.13	4.2
CNC(=O)C1=CC=C2C(=O)N(C)C[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2=C1 |o1:13|	nan	4.28
CNC(=O)C1=CC=C2C(=O)N(C)C[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2=C1 |o1:13|	4.4	4.29
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC |&1:6|	6.72	5.01
C#CC1=CC=C2C(=O)N(C)C[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2=C1 |o1:11|	4.19	4.33
C#CC1=CC=C2C(=O)N(C)C[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2=C1 |o1:11|	5.13	4.52
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C1=CC=CC=N1	5.88	5.55
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCOCC1 |&1:6|	5.25	5.59
C[C@H](C1=CC=CC=C1)N(C(=O)CC1=CN=CC2=CC=CC=C12)C1CCN(C)CC1	4.7	4.28
CNC(=O)C1=CC(Br)=CC([N+](=O)[O-])=C1N[C@@H]1CCCC[C@@H]1NC(=O)C1=CN=CC2=CC=CC=C12	8.22	6.2
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CO)=CC=C2C1=O |o1:3|	4.34	3.83
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CO)=CC=C2C1=O |o1:3|	nan	4.23
C[C@H](N(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12)C(F)(F)F |&1:1|	4.33	4.48
CCN1C=CC(CN(C(=O)CC2=CN=CC3=CC=CC=C23)C2=CC=C(C(C)C)C=C2)=N1	5.38	4.43
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](C2CCCCC2)C[C@H]1C(F)(F)F	nan	4.26
C[C@H]1C[C@H](C2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:3|	4.82	5.38
O=C(NCC1=CC=CS1)[C@@H]1CN(C(=O)C2=CC=CN=C2)CCN1C1=CC=C(Cl)C(Cl)=C1	6.91	4.24
CC1=CC=CC(CN(CC2=CC=CC=N2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1	4.48	4.62
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=C(O)C=C2)C1 |&1:16|	4.55	4.25
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2C[C@H]1C1=CC=CC=C1 |&1:22|	5.49	4.79
O=C(CC1=CN=CC2=CC=CC=C12)N(CCC(F)(F)F)CC1=CC=CC=C1	4.78	5.02
CC(C)CCN(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12	5.13	5.24
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C(F)C=C1)CC1CC1	4.99	4.65
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=NC=C2)CC1 |&1:17|	nan	4.25
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCCCC1 |&1:6|	4.99	4.34
O=C(CC1=CN=CC2=CC=CC=C12)NC1=CC=CC=C1	4.0	4.29
N#CC1=CC=CC(NC(=O)CC2=CN=CC3=CC=CC=C23)=C1	4.5	4.25
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN2C=CC=C2C1	4.51	4.67
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)C1CCC1	5.13	4.81
C[C@H](C(=O)N1CCC[C@H]2CCC(F)(F)C[C@@H]21)C1=CN=CC2=CC=CC=C12 |&1:1,&2:8,15|	nan	4.0
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCCC[C@H]1C1=CC=CC=C1 |&1:20|	5.27	5.59
CN(C)C(=O)CN(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12	4.55	4.92
O=C(CC1=CN=CC2=CC=CC=C12)N(CCC(F)(F)F)C1CCCCC1	4.18	4.33
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC(F)=CC=C1F)C1CCCC1	5.95	5.14
CN(C)CCN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12	4.67	4.21
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)[C@H]1CCCC12CCC2 |&1:21|	4.95	4.72
C[C@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|	5.31	4.21
C[C@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|	6.86	5.5
CN(C)C1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)N=C1	6.5	5.36
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C3=CC=CC=C32)C2=CC(F)=CC=C2C1=O |o1:7|	4.55	4.46
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C3=CC=CC=C32)C2=CC(F)=CC=C2C1=O |o1:7|	6.87	5.67
O=C(NCC1=CC=CS1)[C@@H]1CN(C(=O)C2=CN=CC3=CC=CC=C23)CCN1C1=CC=C(Cl)C(Cl)=C1	7.89	5.44
CNC(=O)CN1C[C@@]2(C[C@H](CO)N(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |&1:7,9|	6.31	4.73
C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|	4.78	4.74
